"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Досуг","Игры","03-мар.-2022 12:03","03-мар.-2022 12:34","12:02"
"Сон","","03-мар.-2022 11:29","03-мар.-2022 13:15",""
"Досуг","Игры","03-мар.-2022 11:25","03-мар.-2022 11:43",""
"Досуг","Игры","03-мар.-2022 11:17","03-мар.-2022 11:17","залип, пу появились"
"Кормление","Еда","03-мар.-2022 10:05","03-мар.-2022 10:05","кабачок"
"Кормление","Левая Грудь","03-мар.-2022 09:44","03-мар.-2022 09:44",""
"Кормление","Правая Грудь","03-мар.-2022 09:43","03-мар.-2022 09:44",""
"Сон","","03-мар.-2022 08:31","03-мар.-2022 09:18",""
"Досуг","Игры","03-мар.-2022 08:26","03-мар.-2022 09:18",""
"Кормление","Правая Грудь","03-мар.-2022 07:14","03-мар.-2022 07:19",""
"Кормление","Левая Грудь","03-мар.-2022 07:09","03-мар.-2022 07:14",""
"Сон","","02-мар.-2022 19:05","03-мар.-2022 06:31",""
"Здоровье","Лекарство","02-мар.-2022 19:02","02-мар.-2022 19:02","С 4 января по 26 февраля была смесь"
"Здоровье","Лекарство","02-мар.-2022 19:00","02-мар.-2022 19:00","Зиртек 5 капель"
"Здоровье","Лекарство","02-мар.-2022 19:00","02-мар.-2022 19:00","Адвантан"
"Подгузники","Мокрый","02-мар.-2022 18:59","02-мар.-2022 18:59",""
"Досуг","Игры","02-мар.-2022 18:59","02-мар.-2022 19:28",""
"Сон","","02-мар.-2022 16:19","02-мар.-2022 16:57",""
"Сон","","02-мар.-2022 14:05","02-мар.-2022 14:39",""
"Кормление","Еда","02-мар.-2022 12:22","02-мар.-2022 12:22",""
"Кормление","Левая Грудь","02-мар.-2022 11:57","02-мар.-2022 12:15",""
"Сон","","02-мар.-2022 10:59","02-мар.-2022 11:51",""
"Досуг","Игры","02-мар.-2022 10:56","02-мар.-2022 11:04",""
"Кормление","Еда","02-мар.-2022 09:17","02-мар.-2022 09:17","рис, мясное пюре, капуста цветная и фасоль зелёная"
"Кормление","Левая Грудь","02-мар.-2022 09:03","02-мар.-2022 09:15",""
"Досуг","Купание","02-мар.-2022 08:49","02-мар.-2022 09:01",""
"Сон","","02-мар.-2022 07:49","02-мар.-2022 08:39",""
"Досуг","Игры","02-мар.-2022 07:44","02-мар.-2022 07:58",""
"Кормление","Правая Грудь","02-мар.-2022 06:52","02-мар.-2022 06:57",""
"Кормление","Левая Грудь","02-мар.-2022 06:46","02-мар.-2022 06:51",""
"Досуг","Игры","01-мар.-2022 19:56","01-мар.-2022 21:02",""
"Сон","","01-мар.-2022 19:40","02-мар.-2022 05:48",""
"Досуг","Игры","01-мар.-2022 19:37","01-мар.-2022 19:51",""
"Сон","","01-мар.-2022 17:25","01-мар.-2022 17:56",""
"Подгузники","Грязный","01-мар.-2022 15:35","01-мар.-2022 15:35",""
"Досуг","Игры","01-мар.-2022 14:45","01-мар.-2022 15:24",""
"Сон","","01-мар.-2022 13:36","01-мар.-2022 15:24",""
"Досуг","Игры","01-мар.-2022 13:30","01-мар.-2022 13:54",""
"Кормление","Еда","01-мар.-2022 13:09","01-мар.-2022 13:09","безглютенов"
"Сон","","01-мар.-2022 11:04","01-мар.-2022 11:43",""
"Досуг","Игры","01-мар.-2022 11:01","01-мар.-2022 11:11",""
"Досуг","Купание","01-мар.-2022 09:31","01-мар.-2022 09:31",""
"Сон","","01-мар.-2022 08:42","01-мар.-2022 09:17",""
"Досуг","Игры","01-мар.-2022 08:40","01-мар.-2022 08:47",""
"Кормление","Еда","01-мар.-2022 07:50","01-мар.-2022 07:50",""
"Кормление","Правая Грудь","01-мар.-2022 07:50","01-мар.-2022 07:50",""
"Кормление","Левая Грудь","01-мар.-2022 07:50","01-мар.-2022 07:50",""
"Досуг","Игры","28-февр.-2022 20:08","28-февр.-2022 20:20",""
"Досуг","Игры","28-февр.-2022 19:39","28-февр.-2022 19:53",""
"Сон","","28-февр.-2022 19:09","01-мар.-2022 07:04",""
"Досуг","Игры","28-февр.-2022 18:47","28-февр.-2022 19:09",""
"Досуг","Игры","28-февр.-2022 16:11","28-февр.-2022 16:55",""
"Сон","","28-февр.-2022 15:44","28-февр.-2022 16:55",""
"Сон","","28-февр.-2022 15:37","28-февр.-2022 15:44",""
"Досуг","Игры","28-февр.-2022 15:29","28-февр.-2022 15:44",""
"Кормление","Еда","28-февр.-2022 14:17","28-февр.-2022 14:17",""
"Досуг","Игры","28-февр.-2022 12:22","28-февр.-2022 12:31",""
"Сон","","28-февр.-2022 11:45","28-февр.-2022 13:36",""
"Подгузники","Мокрый","28-февр.-2022 11:35","28-февр.-2022 11:35",""
"Досуг","Игры","28-февр.-2022 11:35","28-февр.-2022 11:42",""
"Досуг","Купание","28-февр.-2022 10:26","28-февр.-2022 10:26",""
"Досуг","Игры","28-февр.-2022 09:48","28-февр.-2022 10:14",""
"Сон","","28-февр.-2022 09:11","28-февр.-2022 09:48","10:14"
"Досуг","Игры","28-февр.-2022 09:07","28-февр.-2022 09:17",""
"Кормление","Еда","28-февр.-2022 07:51","28-февр.-2022 07:51",""
"Сон","","27-февр.-2022 20:36","28-февр.-2022 07:08",""
"Подгузники","Мокрый","27-февр.-2022 20:22","27-февр.-2022 20:22",""
"Сон","","27-февр.-2022 17:47","27-февр.-2022 18:27",""
"Сон","","27-февр.-2022 15:33","27-февр.-2022 16:00",""
"Досуг","Игры","27-февр.-2022 15:28","27-февр.-2022 15:33",""
"Подгузники","Мокрый","27-февр.-2022 15:10","27-февр.-2022 15:10",""
"Кормление","Еда","27-февр.-2022 14:15","27-февр.-2022 14:15",""
"Сон","","27-февр.-2022 12:43","27-февр.-2022 13:15",""
"Кормление","Левая Грудь","27-февр.-2022 12:36","27-февр.-2022 12:38",""
"Кормление","Еда","27-февр.-2022 10:29","27-февр.-2022 10:29",""
"Подгузники","Мокрый","27-февр.-2022 09:30","27-февр.-2022 09:30",""
"Сон","","27-февр.-2022 09:20","27-февр.-2022 10:15",""
"Кормление","Еда","27-февр.-2022 07:55","27-февр.-2022 07:55","каша овсянка и грудь"
"Сон","","26-февр.-2022 20:26","27-февр.-2022 07:35",""
"Подгузники","Мокрый","26-февр.-2022 20:09","26-февр.-2022 20:09",""
